Time,R,VM,VP,VT
0,0,0,-0.03,0
0.02,0,0,0.01,0
0.04,0,-0.02,0.02,0
0.06,0,-0.02,0.01,0
0.08,0,-0.02,0.01,0
0.1,0,0.01,0.01,0
0.12,0,-0.02,0.01,0
0.14,0,0.01,-0.01,0
0.16,0,0.01,-0.01,-0.06
0.18,0,-0.02,0,0
0.2,0,0.28,0,0
0.22,0,-0.02,0.01,0.01
0.24,0,-0.02,0.02,0.02
0.26,0,-0.05,0.02,0
0.28,0,-0.08,0.02,0
0.3,0,-0.02,0.02,0
0.32,0,-0.02,0.01,-0.03
0.34,0,0.01,0.02,0
0.36,0,0.13,-0.03,-0.01
0.38,0,-0.02,0.02,0.01
0.4,0,0.04,0,-0.03
0.42,0,-0.05,-0.01,0
0.44,0,0.16,0.02,0
0.46,0,-0.02,0.02,0
0.48,0,-0.02,0.02,0
0.5,0,-0.02,0,0
0.52,0,-0.02,0.02,0
0.54,0,0.01,0.02,0
0.56,0,-0.02,-0.04,-0.01
0.58,0,-0.02,0.02,0
0.6,0,0.07,0,0
0.62,0,-0.02,0.02,0
0.64,0,-0.02,0.02,0
0.66,0,-0.02,0.02,0
0.68,0,-0.02,0.02,0
0.7,0,0.01,0.01,-0.01
0.72,0,-0.02,0.03,0
0.74,0,0.04,0.02,0
0.76,0,-0.02,-0.04,0.01
0.78,0,-0.02,0.02,0
0.8,0,-0.05,0.02,0
0.82,0,-0.02,0.02,0
0.84,0,-0.02,0.02,0
0.86,0,-0.02,0.02,0
0.88,0,0.01,0.02,0
0.9,0,-0.02,0.01,0
0.92,0,0.01,0.02,0
0.94,0,0.01,0.03,0
0.96,0,-0.02,-0.06,-0.01
0.98,0,-0.02,0.02,0
1,2.5,0.07,0.02,0
1.02,2.5,12.48,-0.07,0.04
1.04,2.5,12.48,0,0.35
1.06,2.5,12.3,0.12,0.63
1.08,2.5,10.74,0.29,0.86
1.1,2.5,9.33,0.55,1.11
1.12,2.5,8.19,0.84,1.34
1.14,2.5,6.96,1.19,1.53
